b'RT @coinbase: An update on Bitcoin Cash for our customers: sends and receives are functional. Buys and sells on  a',
b'GDAX to bring back bitcoin cash trading tomorrow at 9  PST ',
b'@realMiroR @NeerajKA @pierre_rochard Has it ever passed 0?',
b'Coinbase Halts Bitcoin Cash Trading Abruptly After Exchange Launch  ',
b'Update on BCH trading ',
b'@nic__carter Sounds like a post for our annual review :)',
b'@Truthcoin Still waiting for our delayed review of 2016',
"b'Bitcoin cash trading remains stalled on GDAX, last quoted price $9k, nearly $6k above market average '",
b'$300 Million Lockup: Storj Clarifies Token Economics in Surprise Reveal  ',
b'Bitcoin cash buying and selling is now disabled ',
b'RT @VinnyLingham: If you are receiving Bitcoin Cash today from Coinbase - what are your plans?',
b'Decentralized Token Exchange Radar Relay Raises $3 Million  ',
b'$17k Breached: Bitcoin Price Now Down 15% from All-Time High  ',
"b""Augur's App Token Doubles in Price to Top $100  """,
"b'Q: ""If permissioned blockchains aren t being used in the way first envisaged, then why is interest still growing in '",
"b""Investors Commit $100 Million in First Day Funding to Overstock's tZERO ICO  """,
"b""SEC Suspends Crypto Firm's Stock After Big Price Boost  """,
"b""Nobel Winner Robert Shiller: Bitcoin Is Too 'Ambiguous' to Value  """,
b'Bitcoin Exchange Youbit to Declare Bankruptcy After Hack  ',
b'Bitcoin Exchange Youbit to Declare Bankruptcy After Hack  ',
"b""Who says governments aren't embracing bitcoin? Dubai blockchain visionary @Aisha_BinBishr explains why they should """,
"b""Estonia Inches Closer to National 'Crypto Token' Launch  """,
"b'$2,300 and Rising: Bitcoin Cash Eyes Gains Against Bitcoin  '",
"b""Blockchain's 2018 Goal? Human Rights Over Financial Gains  """,
"b'""We expect the current ferocious pace of investigative activities by Canadian and  securities regulators to con '",
b'RT @btcArtGallery: The Land Before Bitcoin by @SpottedMarley ',
b'Bitcoin Risks Bearish Reversal as Altcoin Prices Surge  ',
"b""Kuwait's Ministry of Finance Says It Does Not Recognize Bitcoin  """,
"b""'Stay Away' from Bitcoin, Warns Danish Central Bank Chief  """,
"b""The Next Step In Overstock's Master Blockchain Plan Is Underway  """,
b'NY Times The Bitcoin Boom: In Code We Trust  by @superwuster',
"b""Bitcoin Likely to Become 'Niche' Product, Says ING's Top Economist  """,
"b""Central banks purchasing bitcoin? It's just around the corner in CoinDesk's #2017inReview: """,
b'Mashable Bitcoin is the Gag Gift You Should Buy This Holiday Season  by @JasonAbbruzzese',
"b'""In 2018, G7 central banks will witness bitcoin and other cryptocurrencies becoming the biggest international curre '",
"b""RT @Aisha_BinBishr: Dubai's adoption of blockchain technology at a city-wide scale is a testament to its commitment to positively transform""",
b'2018 for ICOs: A Quarter-By-Quarter Outlook  by @emschanning',
"b""Overstock's TZERO ICO Yet to Launch as Token Sale Stalls Unexpectedly  """,
"b""Hedge Fund Pro Bill Miller: 'Just About 50 Percent' Invested in Bitcoin  """,
b'$600 Billion: Cryptocurrency Market Cap Sets New Record  ',
b'CFTC Launches Online Resources for Bitcoin Investors  ',
b'France Wants G20 Nations to Discuss Bitcoin Regulation  ',
b'Litecoin Faces Key Hurdle in Push Back to Record Highs  ',
b'RT @SpirosMargaris: Where Have All the #PrivateBlockchains Gone?  #fintech #blockchain @CoinSciences @coindesk',
b'North Korea Suspected Again in Crypto Exchange Attacks  ',
b'The Hill Bitcoin Boom Brings New scrutiny from Washington ',
"b'RT @DianeKazarian: As Wall Street Bids Up Bitcoin, ICO Tactics Change  via @CoinDesk @matthinkley9 @SergeGattesco'",
b'RT @NeerajKA: It looks like crypto philanthropy is taking off  via @coindesk',
b'The Transformed Role of Government in the Blockchain Era  by @Aisha_BinBishr ',
b'Bull Market Breather? Bitcoin Retreats After Run on $20k  ',
b'UK Financial Watchdog to Further Scrutinize ICOs  ',
"b""Fidelity's Charity Arm Raises $22 Million in Bitcoin in 2017  """,
b'Bought Your First Bitcoin or Ether? Brace for the Fees  ',
b'Boeing Eyes Blockchain in Bid to Fight GPS Spoofing  ',
b'Where Have All the Private Blockchains Gone?  ',
"b'RT @rdaccelerator1: Bitcoin Investing: A 10,000-Year View  via @CoinDesk'",
b'RT @nwbld: Finally finished with the packing and labeling! #BrailleBitcoinWhitepaper going out tomorrow to 50+ people in 10 countries. Huge',
b'New Class-Action Suit Filed Against Tezos Founders  ',
b'CME Bitcoin Futures Price Above $20k in First Day Trading  ',
"b""CME's January 2018 bitcoin futures contract trading below $20,000 #bitcoinfutures """,
"b""CME's January 2018 bitcoin future opened above $20,000 and has stayed above that level in the first 10 minutes of t """,
b'2018: The Year Central Banks Begin Buying Cryptocurrency  ',
b'Sell the News? Bitcoin Price to Test $20k Ahead of CME Launch  ',
"b'RT @leeks28: An often overlooked truth in the noise about cryptocurrencies, blockchain and smart contracts is that they mark the entry of r'",
"b'""You have to watch out for new people bearing fancy signs. Things get awfully heated when they show up."" '",
"b""What will blockchain's future hold? @obussmann, @srolondon, @wmougayar and more are weighing in for CoinDesk's """,
"b'Bitcoin Takes All? Enterprise Blockchains Need Time, Too  '",
"b'Consensus Invest Video Bitcoin: Bull and the Bear  ft/ @Melt_Dem, @fundstrat and @RobinWigg '",
"b'RT @jimmysong: Announcement #3: I am writing a book for @OReillyMedia titled Programming Bitcoin! And yes, I want a honey badger on the c'",
"b'RT @cburniske: #ConsensusInvest videos are now up, here s what I had to say about #bitcoin as the first of its kind in a new asset class: h'",
b'Sign of the times ',
"b""A Hitchhiker's Guide to the Blockchain Highway  by @mikeinspace """,
b'FT Race to Launch Bitcoin Futures Stirs Anger  by @meyer_g6 and @staffordphilip',
"b'""Crypto industry players have a key opportunity to shape and redefine the role of the corporation in society."" '",
"b'Q: Can a ""centralized entity"" make good use of a blockchain? Your answer (and more) in CoinDesk\'s latest '",
b'Bloomberg Coinbase Wants Wall Street to Resolve Its Bitcoin Trust Issues  @roburban and @LilyKatz',
"b'RT @BradyDale: I can haz ERC721 tokens? Like LOLcats, cryptokitties were just the beginning:  via @alyssahertig on @'",
"b'RT @sytaylor: Ethereum, Ripple And Litecoin Have Arrived on Bloomberg Terminals  via @CoinDesk'",
b'RT @johnkimelman: US Government to Sell Off $10 Million in Seized Bitcoin and Bitcoin Cash  via @CoinDesk',
"b'Class-Action Suit Targets ICO Promoted By Floyd Mayweather, Jr.  '",
b'US Treasury Report: DLT Data Storage Raises Oversight Concerns  ',
"b""'Clear and Loud': Parity to Drop First Bid for Frozen Ether Fix  """,
"b""IPO  @obussmann predicts big 2018 for ICOs in CoinDesk's #2017inReview: """,
b'Monero Mining Malware Hits Russian Pipeline Giant Transneft  ',
"b'""If it were possible to measure effects on humanity, bitcoin would probably rank even smaller than low tenths of a '",
"b""US Commodities Regulator Proposes Definition for Cryptocurrency 'Delivery'  """,
"b""RT @dwightclark: .@jfberke solid article on why cryptocurrency and cannabis don't mix, but my colleague @CAlovisetti got the scoop a month""",
"b'Ethereum, Ripple And Litecoin Have Arrived on Bloomberg Terminals  '",
b'$20k Bitcoin? Not Yet As Changing Charts Favor Crypto Rivals  ',
"b'""The explosion of ethereum, the ICO phenomenon and the forks of bitcoin that marked 2017 were the fires started by '",
b'Corporate Blockchain Brain Drain Is About More Than Money  ',
"b""Q: How many coins are outperforming bitcoin? A: According to @woonomic's data, quite a few More in CoinDesk's """,
"b""Crypto Collectables? Ethereum's Next Killer App Is on Its Way  """,
"b'ME: Why am I doing this book rubbish, I could just set up an ICO  WIFE: No. ME: But it could  WIFE: No. '",
b'Ethereum Browser Bug Could Put User Funds At Risk  ',
"b'More to Come? Bitcoin Sets New Record High Above $17,800  '",
"b'""2017 was another gloriously miserable year for bitcoin."" @Jim_Harper pours cold water on the world\'s hottest ma '",
"b""UK's FCA Chief Warns Bitcoin Investors: Be Prepared to Lose Your Money  """,
b'US Government to Sell Off $10 Million in Seized Bitcoin and Bitcoin Cash  ',
"b'""The fact is, blockchain is coming to the public sector."" @IBMBlockchain\'s @mwieck joins CoinDesk\'s '",
b'Survey: Most Bitcoin Investors Expect Even Fatter Returns in 2018  ',
"b'""I don\'t expect to ever see full consensus across any of these crypto assets."" @cryptovenus joins CoinDesk\'s '",
"b'""Think you can assume your crypto exchange is basically competent and its systems well maintained? Think again."" '",
b'2018: The Year We Make Cont(r)act  ',
"b""Mimblewimble's Small Step: Grin Raises Funds for New Development  """,
"b'Which ""version"" of bitcoin is more centralized? @blockchain\'s @cryptovenus weighs bitcoin, bitcoin cash and bitco '",
"b'As Wall Street Bids Up Bitcoin, Tactics Change for ICOs  '",
"b""Halfway to M1 money supply? Crypto trader @woonomic gives his 10,000-year bitcoin view, only in CoinDesk's """,
b'DOJ Alleges Bitcoin Involved in Attempted ISIS Funding  ',
b'Goodbye Ethereum: Kik Plans to Move Its ICO Tokens to Stellar  ',
"b'""Neither an infant nor an adult, [blockchain] is like a teenager who has already shown strong potential and raised '",
"b""Malaysia's Central Bank Releases Draft Rules for Cryptocurrency Exchanges  """,
b'RT @DelRayMan: Days before the FCC killed #NetNeutrality two ethereum developers were already exploring alternatives to ISPs with the help',
"b""Intel Sees Role for 'Blockchain Mining' in Genetic Sequencing  """,
"b""Q: Are ICOs securities or commodities? A: What if it's just an ICO? @EvaKaili's burning question for global reg """,
b'RT @DelRayMan: Ethereum developers are already exploring a way to undermine FCC decision to kill #NetNeutality:  vi',
b'RT @SpirosMargaris: Plan B? #Ethereum Innovators Are Reviving the Fight for #NetNeutrality  #fintech #blockchain',
"b""CoinDesk's #2017inReview  @IBMBlockchain's @mwieck foresees governments embracing blockchains in 2018 """,
"b'Denmark Could Tap Blockchain For Foreign Aid Delivery, Says Report  '",
"b""Yellowing Paper: What's Delaying a Crucial Ethereum Update?  """,
b'Gibraltar to Launch License Scheme for Blockchain Startups  ',
"b""Up 50%: Ripple's XRP Sets Price Record Amid Overstretched Rally  """,
"b""It's Time for Governments to Embrace Blockchain  """,
"b""Down We Go? Bitcoin Looks Lower as Traders Chase 'Small Cap' Gains  """,
b'Court Approves  Extradition for Alleged BTC-e Operator  ',
b'RT @flopezvelayos: Out with the Old: Blockchain Requires a New Regulatory Approach  via @CoinDesk',
"b'Japanese Shipping Giant, IBM to Trial Blockchain in Cross-Border Trade  '",
"b""India's Tax Department Collects User Data at Multiple Bitcoin Exchanges  """,
b'Out with the Old: Blockchain Requires a New Regulatory Approach  ',
"b'Walmart,  Back Blockchain Food Tracking Effort in China  '",
"b""RT @ljxie: Remember the people who helped you learn about bitcoin and cryptocurrencies when you first started. There's a lot of new people""",
b'RT @Steven_McKie: Plan E* ',
"b'RT @A_Hannan_Ismail: Jolly good, this. Here Come the Bogus #Bitcoin Scare Tactics  via @CoinDesk'",
"b'RT @iang_fc: People, time to change the dialogue. Never ever ask someone how much crypto they have, or what crypto they have. Lives are n'",
b'Plan B? Ethereum Innovators Are Reviving the Fight for Net Neutrality  ',
"b""2018's Big Question: Can Bitcoin Forks Deliver Value?  by @cryptovenus """,
"b'RT @NoelleInMadrid: Trading profit is great,  ""The pocket calculator has had a bigger influence on human progress than bitcoin. Velcr'",
"b'Saudi, UAE Central Banks Team Up to Test Cryptocurrency  '",
"b""Yellen Calls Bitcoin 'Highly Speculative Asset' at Final Press Conference  """,
b'RT @NoelleInMadrid: This is surreal: an at-gunpoint theft of   via @CoinDesk @mpmcsweeney',
b'@myselfrathee Accidentally tweeted a broken link before -- fixed ',
"b'South Korean Officials Weigh Taxes, New Curbs on Bitcoin Exchanges  (corrected link) '",
"b'Man Stole $ Million in Ether After Armed Robbery, Prosecutors Say  '",
"b""Kickstarter ICO? Don't Count On It Says Crowdfunding Leader  """,
b'Patrick Byrne Mulls Overstock Sale to Fund New Blockchain Venture  ',
b'RT @obussmann: My @coindesk 2018 prediction: 2018: Another Growth Year for #Blockchain  ',
"b""Here Come the Bogus Bitcoin Scare Tactics - an impassioned rebuttal to MSM skeptics from @medici_ventures' Steve Ho """,
b'Bitcoin Price Dilemma: Bull and Bear Paths in Play  ',
"b'Bloomberg Bitcoin Shorts Are Hard to Find, Keeping Futures Above Spot Price  by @ToddWhiteLC &amp; @EdVanDerWalt'",
"b""Uncle Sam's Surprise: Tax Reform to Impact Crypto Investors  """,
b'$750: The Ether Price Freight Train Has a New Target  ',
"b""RT @bmagierski: Bitcoin Has Gone Mainstream. That's a Very Big Deal  via @CoinDesk""",
"b""Facebook Messenger VP Joins Coinbase's Board of Directors  """,
"b""Japan's GMO Internet to Roll Out Bitcoin Payroll System  """,
"b""Vanguard Taps Symbiont's Private Blockchain for Index Fund Data  """,
"b""Bitcoin Has Gone Mainstream. That's a Very Big Deal  """,
b'Bloomberg Bitcoin Started With All Men. Now Crypto Is Opening to Women ',
b'Blockchain Startup LO3 Partners With Power Exchange  ',
b'Bloomberg SEC Halts a Real Initial Coin Offering  by @matt_levine',
b'WSJ The Force Behind Bitcoin s Meteoric Rise: Millions of Asian Investors  by @_eunyoungjeon and @srussolillo',
"b""Scratch That: CryptoKitties Isn't Ethereum's Vision for Apps  """,
"b""RT @AaronWStanley: CFTC Chair: Cryptocurrencies 'Unlike Any Commodity' Agency Has Seen  via @CoinDesk""",
"b'RT @JuanLlanos: He should get out of his comfort zone/echo chamber and, at a minimum, read @mikejcasey, @dtapscott &amp; @wmougayar #Bitcoin #b'",
b'RT @cburniske: Using margin in the #crypto markets is like dousing a rocket in lighter fluid.',
b'Motherboard A Popular Bitcoin Puzzle Has Revealed an Even Larger Mystery  by @DMOberhaus ',
"b""Victory Lap? 2017 Was Bitcoin's Backwards Year  by @Jim_Harper """,
b'@woonomic @obussmann @davidgerard 2/ Be sure to bookmark our page for all the insights and analysis to come ',
"b""A mainstream moment? We're live with our #2017inReview, a weeks-long run of content from crypto champions and nay """,
b'Bitcoin Futures Codes: How to Read Them And What They Mean  ',
"b'RT @_jillruth: ""This time is different.""'",
b'@cryptograffiti @btcArtGallery Shirts please',
"b'RT @RonPaul: You have $100,000 to invest in one of the following. However, after making the investment, you can t touch it for 10 years.'",
b'RT @BKBrianKelly: It s  ',
b'Booming market Indeed* ',
"b'RT @cgledhill: #Bitcoin Investing: A 10,000-Year View  #fintech '",
b'Historic first ',
b'RT @NeerajKA: December so far: - CryptoKitties clogs Ethereum - Bitcoin price rally - Litecoin price rally - SEC / Munchees ICO - Bitco',
b'Fake News? Former New Zealand Prime Minister Denies Investing in Bitcoin  ',
b'Crowdfunding Giant Indiegogo Opens Platform to ICOs  ',
"b'RT @AaronWStanley: The mania continues: Coinbase Halts Litecoin, Ether Trades as Prices Spike  via @CoinDesk'",
b'RT @RogerParkEY: Criticisms against #bitcoin are often misleading. #EY s @anguschampion shares what #bitcoin and #blockchain means for the',
b'RT @StockTwits: Who knows the feeling? $ ',
b'Mt Gox Creditors Want Bitcoin Exchange Taken Out of Bankruptcy ',
"b""Bitcoin Bulls Face 'Alt' Competition in Push to $20k  """,
b'Trump Signs Defense Bill Authorizing Blockchain Study  ',
"b'Coinbase Halts Litecoin, Ether Trades as Prices Spike  '",
b'App status page indicates major outages for both markets ',
b'BREAKING: Coinbase has temporarily suspended litecoin and ether buying and selling ',
b'RT @DelRayMan: Blockchain jobs growth of 200% this year is only half the story. @CoinDesk interviewed four of the largest industry employer',
"b'RT @alexsunnarborg: Fun panel at @CoinDesk s Consensus Invest 2017 conference on crypto investment tools &amp; products w/ @WhiteAdamL (@GDAX),'",
"b""CFTC Chair: Cryptocurrencies 'Unlike Any Commodity' Agency Has Seen  """,
"b'Bitcoin Investing: A 10,000-Year View  '",
b'RT @JohnHKingston: A fascinating look at #blockchain job opportunities from @coindesk and @DelRayMan.  ',
b'RT @NoelleInMadrid: An excellent read by @davidgerard - entertaining and   via @CoinDesk',
"b""RT @PeterLBrandt: Fellow crypto traders -- enjoy this experience. Spend your profits wisely (pay off student loans, don't buy a Ferrari). T""",
b'Word to the wise? ',
"b""Bitcoin Isn't Sapping Demand for Gold, Says Goldman Sachs Exec  """,
"b""Blockchain's Big Year: Competitive Job Market Grows More Than 200%  """,
b'Over $300? Pullback Likely for Surging Litecoin  ',
b'Crypto Fund Bitwise Raises $4 Million in VC Funding  ',
"b'No Stopping? After Record High, Bitcoin Price Eyes $20,000  '",
b'New Self-Regulatory Body Aims to Develop ICO Standards  ',
b'2018 Will Be Another Growth Year for Blockchain  ',
b'Hong Kong Regulator Issues Warning on Unregulated Bitcoin Futures  ',
"b'The Hill Bitcoin Is a Ponzi Scheme, and It Will Collapse Like One '",
b'RT @HenryRainesShow: This article lists three separate distinct Bitcoin ETF applications received between December 8th and December 11th by',
"b""2017: The 'Butt' of Bitcoin's Joke  by @davidgerard """,
b'RT @AriDavidPaul: Litecoin is now worth more than the entire cryptocurrency market just 15 months ago.',
"b""'According to Plan': CBOE Bullish on First Day of Bitcoin Futures Trading  """,
"b'RT @Techmeme: BitGo, maker of multi-signature cryptocurrency wallets for enterprises, raises $ Series B led by Valor Equity Partners ('",
"b'Clayton: ""I encourage Main Street investors to be open to these opportunities, but to ask good questions, demand cl '",
"b'Clayton: ""I also caution market participants against promoting or touting the offer and sale of coins without first '",
"b'Clayton: ""Merely calling a token a \'utility\' token or structuring it to provide some utility does not prevent the t '",
b'SEC chairman Jay Clayton has issued new remarks on cryptocurrencies and initial coin offerings (ICOs) ',
b'Bitcoin Price Back Above $17k to Set New All-Time High  ',
b'Understanding Futures: A Primer for Bitcoiners  ',
"b""CBOE CEO Blasts 'Uncalled For' Bitcoin Futures Critiques  """,
b'RT @ibarguen: The ABCs of Bitcoin. What is Bitcoin?  via @CoinDesk',
b'RT @SpirosMargaris: Parity Proposes #HardFork to Reclaim Frozen $160 Million  #fintech #blockchain @_lunar_minin',
"b'RT @BradyDale: If I did it right, this story may help those new to blockchain technology to understand why decentralized startups are diffe'",
"b""RT @ampressman: No munch - SEC Halts Multimillion-Dollar 'Munchee' ICO for Securities Violations  via @CoinDesk""",
"b""RT @DelRayMan: Bitcoin ETF? Fresh off launching its first bitcoin futures contract, CBOE's CEO says some of that data could be used in futu""",
"b""RT @DelRayMan: It's always good to see veteran bitcoin companies gain traction after so many years of hard work! BitGo raised $43 million t""",
"b'RT @DelRayMan: Just in the nick of time, UBS plans to launch a live ethereum platform designed to simplify compliance of MiFID II regulatio'",
"b""SEC Halts Multimillion-Dollar 'Munchee' ICO for Securities Violations  """,
b'5/ Full filing can be found here: ',
b'4/ SEC did not impose a civil penalty as action taken before tokens were delivered',
b'3/ SEC finds that MUN tokens were securities as MUN token purchasers had a reasonable expectation of profits',
"b'2/ Action taken against Munchee, an iPhone app for restaurant reviews that was seeking $15 million'",
b'JUST IN: Company Halts Ico After Sec Raises Registration Concerns',
b'New Bitcoin ETF Filings Follow CBOE Futures Debut  ',
"b'Bitcoin Gold Defies Gravity, But Price Rally Looks Weak  '",
b'BREAKING: Pantera Invests $3 Million in Sharing Economy Token Origin  ',
b'BREAKING: BitGo Scores $43 Million Series B as Crypto Goes Corporate  ',
b'Futures Launch Puts Record Bitcoin Highs Back in Play  ',
"b'BREAKING: UBS to Launch Live Ethereum Platform with Barclays, Credit Suisse and More  '",
b'RT @MacroScope17: When was the last time the website of a major broker or exchange was clogged by the  a Sunday night? Any Wa',
b'South Korean NH Bank Joins R3 Distributed Ledger Consortium  ',
b'France Gives Go-Ahead for Blockchain Trading of Unlisted Securities  ',
b'SEC Official: Cryptocurrency Investment Funds Raise Questions  ',
b'Gibraltar Bill Passage Paves Way for Blockchain Regulations  ',
"b""Deutsche Bank: Blockchain Opportunities Are 'Huge'  """,
b'Bitcoin Futures Launch Sees Price Spike as CBOE Website Crashes  ',
b'CNBC now displaying delayed @cboe #bitcoinfutures data ',
b'@CBOE In other  ',
b'Updated @cboe bitcoin futures count ',
b'Official update on #bitcoinfutures ',
"b""The first market data is coming in from CBOE's website following the #bitcoinfutures launch """,
"b'Bitcoin spikes $ in minutes after CBOE futures start ($14,509 at 22:59 to $15,732 at 23:06) #bitcoinfutures '",
"b""CBOE's website has become inaccessible as it launches its XBT futures contract #bitcoinfutures """,
"b'BREAKING: Bitcoin Futures Launch Could Rekindle Push for ETF, CBOE Says  '",
b'How Forks Might Help Bitcoin Reach Its True Destination  ',
"b'WSJ Why Bitcoin? Why Now?  by @paulvigna @paulvigna, @telisdemos &amp; @rudegeair'",
b'RT @lpolovets: This comment from *2009* on the Cryptography Mailing List is amazing. () ',
"b'RT @StephenAtHome: Wow, if I had invested $1,000 in Bitcoin last week, today I would  still no idea how Bitcoin works.'",
b'Bitcoin Drops to $13k in Red Day for Crypto Markets  ',
b'Lightning: The Bitcoin Scaling Tech You Really Should Know  ',
b'The Hidden Trade-Offs of ICOs for Entrepreneurs  ',
b'Time There Could Be As Many As 200 Bitcoin Billionaires in the World Right Now  by @rjwile',
b'Zcash Sets Roadmap for Blockchain Upgrades in 2018  ',
b'RT @carlfischer101: The Father of the ICO Is All About Identity Now  via @CoinDesk',
"b""Circle's CENTRE Spin-Off Raises $20 Million in SAFT Sale  """,
b'RT @KyleSamani: So this one has been a long time  The super post about token velocity. Hope you enjoy! ',
b'New ViaBTC Exchange to Use Bitcoin Cash as Base Trading Pair  ',
b'Major Gold Dealer APMEX Begins Accepting Bitcoin  ',
b'Crypto Market Snapshot Afternoon Session: 12:01~18:00 UTC Top 3 Performers NEM + Populous +  Litecoin +',
b'Craigslist Sellers Can Now Request Cryptocurrency Payments  ',
"b'Bull Trap? Bitcoin Cash Price Is Up, But Gains May Be Short-Lived  '",
"b'RT @mikejcasey: For the record, that s 6% of Bulgaria s GDP. '",
b'RT @VinnyLingham: As I was saying to @Disruptepreneur last week - there is more fiat that hates Bitcoin than loves it. Futures will be insi',
b'Microlending Trends As Startups Look to Blockchain for Loans  ',
b'Australian Finance Watchdog to Monitor Bitcoin Exchanges  ',
b'RT @BKBrianKelly: Nolan Baurele of @coindesk just gave a Cryptocurrency clinic on @SquawkCNBC !!! nicely done!',
b'Bitcoin Dips Below $15k on Weak Afternoon Trading  ',
"b""RT @bmagierski: Naval Ravikant: Bitcoin Solves 'Money Problems'  via @CoinDesk""",
b'2/ Bottom 3 Performers Decred  BitConnect  Bitcoin  ',
b'Crypto Market Snapshot Early Morning Session: 00:00~06:00 UTC Top 3 Performers Populous + Bitcoin Cash + Ripple +',
"b'Correction Coming? Bitcoin Prices Retreat After Spike to $17,000  '",
b'Credit Union Trade Body NAFCU Joins Enterprise Ethereum Alliance  ',
"b""High Bitcoin Prices Spiking Demand for Washington's Cheap Electricity  """,
b'The Blockchain Token Velocity Problem  ',
"b'Huobi, SBI Announce Plan for Japanese Bitcoin Exchanges  '",
b'The Threat of Bitcoin Futures  ',
b'RT @jrwhappy: So if governments want to collapse cryptos all they have to do is seize low and sell high? ',
b'Report: Bitcoin Derivatives Banned By South Korean Government  ',
"b'Methodology: Data from the top 60 cryptocurrencies, observed in target period'",
b'Worst Performers: Einsteinium -13% Power Ledger -10% Syscoin  Stratis  More data: ',
b'Crypto Market Snapshot: Night Session: 18:01~24:00 Top Performers: Steem +30% Nxt +8% Cryptonex + BitcoinDark +20% Bytecoin +',
"b""RT @nikhileshde: As per @BradyDale, that's roughly 18% of Bulgaria's national debt in bitcoin """,
"b'RT @SignCurve: Move over, Winklevoss twins. The world s biggest bitcoin  a government. '",
b'NiceHash CEO Confirms Bitcoin Theft Worth $78 Million  ',
b'The Bulgarian Government Is Sitting on $3 Billion in Bitcoin  ',
b'RT @kyletorpey: Bank of America Wins Patent for Crypto Exchange System  via @CoinDesk',
b'Apple Patent Filing Hints at Blockchain Timestamp Use  ',
"b'As Bitcoin Soars, Prices Diverge Wildly Across Exchanges  '",
b'Futures Industry Association Blasts New Bitcoin Derivatives  ',
"b'RT @DelRayMan: Historic: ""It\'s the first time that distributed ledger technology has been given a validation by a major systemically import'",
"b""RT @SpirosMargaris: #BlytheMasters: #ASX #Blockchain Embrace 'Precedent Setting'  #fintech @DelRayMan @coindesk""",
b'RT @StevewebbPwC: Seems those that don t think #blockchain is a game changer are wrong. Maybe they just don t understand settlements https:',
"b'Moving Up: IOTA Overtakes Ripple, Finds New Price Base  '",
b'Cat Fight? Ethereum Users Clash Over CryptoKitties Congestion  ',
"b""$15,000 and Counting: Is There a Limit to Bitcoin's Meteoric Rally?  """,
"b""Alan Greenspan Likens 'Irrational' Bitcoin to Civil War Currency  """,
b'Former Mastercard Executive Joins CULedger Consortium as CEO  ',
b'Steam Drops Bitcoin Payments Citing High Fees and Price Volatility  ',
"b""Blythe Masters: ASX Blockchain Embrace 'Precedent Setting'  """,
b'Austrian Government Backs New Blockchain Research Institute  ',
b'RT @katie_haun: The Next CryptoKitties? The Blockchain Might Not Be Ready  via @CoinDesk',
"b'RT @RichSimmondsZA: #Bitcoin reaches another All Time High, climbing $1000 in 4 hours! The latest Bitcoin Price Index is $14, USD ht'",
b'Bank of America Wins Patent for Cryptocurrency Exchange System  ',
"b'RT @DelRayMan: You can almost hear the reins coming off the blockchain developers at global stock exchanges around the world. ""ASX Says Yes'",
b'Bitcoin Up $2k in 24 Hours as Crypto Market Nears $400 Billion  ',
b'ASX Says Yes: Securities Exchange Approves DLT Replacement of Post-Trade System  ',
b'We believe that using DLT to replace CHESS will enable our customers to develop new services and reduce their cost ',
b'BREAKING: ASX has announced that it will replace its CHESS post-trade system with DLT developed by startup Digital Asset.',
b'$62 Million Gone? Cryptocurrency Mining Market NiceHash Hacked  ',
"b""Bitcoin's Price Shoots Past $13,000 to Reach New All-Time High  """,
b'$10k in Bitcoin for 10 Years? Ron Paul Fans Pick Crypto Over Gold  ',
"b""AngelList's Naval Ravikant: Bitcoin Solves 'Money Problems' """,
b'BREAKING: Lightning at Last? Test Shows Bitcoin Scaling Solution Almost Ready  ',
b'BREAKING: Encyclopedia Blockchainica: Wikipedia Co-Founder to Disrupt His Own Creation  ',
"b'Mexican Lawmakers Advance Bill to Regulate Bitcoin, Fintech Firms  '",
b'WARNING: Spam text messages purporting to be from CoinDesk are not from us please beware and do not click on the associated links.',
"b'Mobile Banking App Revolut Adds Litecoin, Ether Trading  '",
"b""RT @alexposadzki: Loveable Digital Kittens Are Clogging Ethereum's Blockchain  via @CoinDesk""",
"b'RT @BradyDale: G-Eazy, Mariah and More to Sell Albums for Monero  via @CoinDesk'",
"b'RT @timsteno: Bitcoin hit $12,000 last night, now getting close to $13,000 $BTC #bitcoin via @coindesk  '",
"b""RT @PeterMacaluso2: Australia's CommBank Plans to Issue a Bond on the Blockchain  via @CoinDesk""",
"b""$12,795: Bitcoin's Price Just Gained Over $1,000 in 24 Hours  """,
"b""Australia's CommBank Plans to Issue a Bond on the Blockchain  """,
b'Coders Beware: Licensing Issues Abound for Ethereum Apps  ',
"b""Indonesia's Central Bank Mulls Bitcoin Payments Ban  """,
"b'MUFG, NTT Data Trial Blockchain for Cross-Border Trade  '",
b'The Next CryptoKitties? The Blockchain Might Not Be Ready  ',
b'Nokia Trials Blockchain in Bid to Secure Health Data  ',
"b""India's Central Bank Sounds the Alarm (Again) on Bitcoin  """,
"b""$12,000 and Rising: Bitcoin's Price Hits New All-Time High  """,
b'RT @AustinLAC: Imagine reading this headline a year ago ',
"b""RT @MariaTerekhova2: That bandwagon's getting pretty crowded:  via @CoinDesk""",
b'RT @omegamaster: What is a Distributed Ledger?  via @CoinDesk',
"b""'All-You-Can-Fly' Airline Begins Accepting Bitcoin and Ether  """,
"b""Teams and Products? That's Not the Only Way to Weigh Tokens, Says Ehrsam  """,
b'A Missouri Lawmaker Wants to Ban Blockchain Gun Tracking  ',
b'Token Summit Surprise: OpenBazaar to Launch Layer-Two Coin  ',
"b""ICO Delayed by Ethereum's CryptoKitties Congestion  """,
"b""'More Bang for Less Byte': ICOs Confront Growing Pains  """,
b'Tokyo Financial Exchange Planning Bitcoin Futures Launch  ',
b'RT @IamJohnBurnett: 4 Blockchain Bills Introduced in New York Legislature  via @CoinDesk',
